Team,HGS,HGC,AGS,AGC,TGS,TGC,GD,totalpoints,homepoints,awaypoints,gamesplayed,homewin,homedraw,homeloss,awaywin,awaydraw,awayloss,winsagg,drawsagg,lossagg,win%,draw%,loss%
Man United,874,328,688,454,1562,782,780,1698,941,757,836,289,74,55,218,103,97,507,177,152,60.6,21.2,18.2
Chelsea,872,338,666,419,1538,757,781,1665,918,747,836,274,96,48,218,93,107,492,189,155,58.9,22.6,18.5
Arsenal,892,367,669,509,1561,876,685,1603,929,674,836,281,86,51,189,107,122,470,193,173,56.2,23.1,20.7
Liverpool,846,319,670,489,1516,808,708,1591,904,687,836,267,103,48,197,96,125,464,199,173,55.5,23.8,20.7
Man City,845,364,633,482,1478,846,632,1440,821,619,798,252,65,82,176,91,132,428,156,214,53.6,19.5,26.8
Tottenham,758,425,565,586,1323,1011,312,1370,822,548,836,245,87,86,148,104,166,393,191,252,47.0,22.8,30.1
